# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-F" "GFF" "-t" "gene" "-g" "locus_tag" "-a" "ref/GCF_000750555.1_ASM75055v1_genomic.gff" "-o" "counts/gene_counts.txt" "bam/SRR13970433.sorted.bam" "bam/SRR13970434.sorted.bam" "bam/SRR13970441.sorted.bam" "bam/SRR13970442.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR13970433.sorted.bam	bam/SRR13970434.sorted.bam	bam/SRR13970441.sorted.bam	bam/SRR13970442.sorted.bam
BW25113_RS04260	NZ_CP009273.1	851419	853011	+	1593	58	71	42	57
BW25113_RS04265	NZ_CP009273.1	853252	854517	-	1266	19	18	21	25
BW25113_RS04270	NZ_CP009273.1	854669	855484	-	816	13	18	16	18
BW25113_RS04275	NZ_CP009273.1	855630	858062	-	2433	62	52	17	34
BW25113_RS04280	NZ_CP009273.1	858068	858967	-	900	16	8	7	5
BW25113_RS04285	NZ_CP009273.1	859098	859760	+	663	14	11	6	13
BW25113_RS04290	NZ_CP009273.1	859836	860585	-	750	23	20	19	22
BW25113_RS04295	NZ_CP009273.1	860585	861820	-	1236	30	36	29	33
BW25113_RS04300	NZ_CP009273.1	862024	862989	+	966	21	28	34	22
BW25113_RS04305	NZ_CP009273.1	862976	864847	+	1872	31	39	39	29
BW25113_RS04310	NZ_CP009273.1	864867	866405	+	1539	31	44	30	30
BW25113_RS04315	NZ_CP009273.1	866423	867343	+	921	17	14	25	18
BW25113_RS04320	NZ_CP009273.1	867346	868257	+	912	13	12	16	16
BW25113_RS04325	NZ_CP009273.1	868435	870783	+	2349	19	13	18	25
BW25113_RS04330	NZ_CP009273.1	870791	872119	+	1329	11	19	6	8
BW25113_RS04335	NZ_CP009273.1	872166	873491	-	1326	14	18	19	17
BW25113_RS04340	NZ_CP009273.1	873704	874087	+	384	20	15	15	12
BW25113_RS04345	NZ_CP009273.1	874198	875313	+	1116	14	15	12	10
BW25113_RS04350	NZ_CP009273.1	875310	875936	-	627	21	20	29	33
BW25113_RS04355	NZ_CP009273.1	876183	877385	+	1203	32	31	53	38
BW25113_RS04360	NZ_CP009273.1	877432	878190	-	759	19	19	12	13
BW25113_RS04365	NZ_CP009273.1	878248	878844	-	597	13	11	6	12
BW25113_RS04370	NZ_CP009273.1	879129	880361	+	1233	23	22	18	17
BW25113_RS04375	NZ_CP009273.1	880402	880686	-	285	7	3	5	5
BW25113_RS04380	NZ_CP009273.1	880772	881587	-	816	14	9	13	14
BW25113_RS04385	NZ_CP009273.1	881587	882795	-	1209	24	18	15	16
BW25113_RS04390	NZ_CP009273.1	882879	883415	+	537	8	8	5	7
BW25113_RS04395	NZ_CP009273.1	883590	885275	-	1686	54	45	51	42
BW25113_RS04400	NZ_CP009273.1	885545	885922	+	378	13	11	8	8
BW25113_RS04405	NZ_CP009273.1	885952	886209	-	258	5	4	8	8
BW25113_RS04410	NZ_CP009273.1	886369	886656	+	288	6	10	6	8
BW25113_RS04415	NZ_CP009273.1	886640	887362	+	723	19	20	35	23
BW25113_RS04420	NZ_CP009273.1	887423	888325	+	903	26	21	18	23
BW25113_RS04425	NZ_CP009273.1	888413	888889	+	477	39	27	22	26
BW25113_RS04435	NZ_CP009273.1	889240	890352	+	1113	24	20	17	23
BW25113_RS04440	NZ_CP009273.1	890447	891580	+	1134	18	15	19	12
BW25113_RS04445	NZ_CP009273.1	891590	892543	+	954	7	14	12	8
BW25113_RS04450	NZ_CP009273.1	892540	893385	+	846	9	4	8	6
BW25113_RS04455	NZ_CP009273.1	893445	893933	+	489	7	3	4	2
BW25113_RS04460	NZ_CP009273.1	893974	895101	+	1128	22	8	19	14
BW25113_RS04465	NZ_CP009273.1	895300	896031	-	732	26	32	36	27
BW25113_RS04470	NZ_CP009273.1	896322	896990	-	669	17	16	15	8
BW25113_RS04475	NZ_CP009273.1	896990	897706	-	717	12	15	10	8
BW25113_RS04480	NZ_CP009273.1	897713	898444	-	732	34	31	27	18
BW25113_RS04485	NZ_CP009273.1	898462	899190	-	729	16	20	22	13
BW25113_RS04490	NZ_CP009273.1	899408	899923	-	516	21	18	11	10
BW25113_RS04495	NZ_CP009273.1	900049	900372	+	324	20	13	9	10
BW25113_RS04500	NZ_CP009273.1	900369	901199	+	831	26	39	20	21
BW25113_RS04505	NZ_CP009273.1	901196	902209	-	1014	20	22	17	11
BW25113_RS04510	NZ_CP009273.1	902308	903738	-	1431	24	35	25	24
BW25113_RS04515	NZ_CP009273.1	903749	904750	-	1002	22	17	32	36
BW25113_RS04520	NZ_CP009273.1	904787	906505	-	1719	58	51	17	37
BW25113_RS04525	NZ_CP009273.1	906638	907606	-	969	48	41	18	19
BW25113_RS04530	NZ_CP009273.1	907618	909270	-	1653	88	74	33	24
BW25113_RS04535	NZ_CP009273.1	909414	910313	-	900	14	14	11	16
BW25113_RS04540	NZ_CP009273.1	910808	911503	-	696	1	6	11	6
BW25113_RS04550	NZ_CP009273.1	911929	913587	+	1659	30	33	30	27
BW25113_RS04555	NZ_CP009273.1	913584	914540	-	957	34	35	31	23
BW25113_RS04560	NZ_CP009273.1	914691	915806	+	1116	27	23	24	20
BW25113_RS04565	NZ_CP009273.1	915803	917749	+	1947	30	30	40	24
BW25113_RS04570	NZ_CP009273.1	917822	918046	-	225	39	43	33	24
BW25113_RS26100	NZ_CP009273.1	918196	918270	+	75	3	2	3	1
BW25113_RS04575	NZ_CP009273.1	918369	918689	+	321	46	46	45	44
BW25113_RS04580	NZ_CP009273.1	918720	920996	+	2277	725	756	784	743
BW25113_RS04585	NZ_CP009273.1	921340	921427	-	88	2	5	4	0
BW25113_RS04590	NZ_CP009273.1	921681	921899	-	219	56	59	56	43
BW25113_RS04595	NZ_CP009273.1	922184	922888	-	705	12	18	14	12
BW25113_RS04600	NZ_CP009273.1	922930	924651	-	1722	47	44	47	28
BW25113_RS04605	NZ_CP009273.1	924652	926418	-	1767	41	31	28	36
BW25113_RS04610	NZ_CP009273.1	926541	927506	-	966	49	55	37	58
BW25113_RS04615	NZ_CP009273.1	928051	928545	+	495	68	45	78	65
BW25113_RS04620	NZ_CP009273.1	928680	932669	+	3990	282	301	237	264
BW25113_RS04625	NZ_CP009273.1	932828	933439	+	612	115	96	94	93
BW25113_RS04630	NZ_CP009273.1	933450	934793	+	1344	66	71	75	57
BW25113_RS04635	NZ_CP009273.1	934884	936176	+	1293	258	233	246	220
BW25113_RS04640	NZ_CP009273.1	936415	938859	+	2445	548	575	404	398
BW25113_RS04645	NZ_CP009273.1	938870	939487	+	618	171	189	115	113
BW25113_RS04650	NZ_CP009273.1	939489	940352	+	864	246	229	174	149
BW25113_RS04655	NZ_CP009273.1	940387	941013	-	627	31	18	16	13
BW25113_RS04660	NZ_CP009273.1	941327	942475	+	1149	30	20	40	36
BW25113_RS04665	NZ_CP009273.1	942685	944115	+	1431	24	26	24	23
BW25113_RS04670	NZ_CP009273.1	944116	945024	-	909	10	8	11	13
BW25113_RS04675	NZ_CP009273.1	945124	945714	+	591	8	9	6	6
BW25113_RS04680	NZ_CP009273.1	945796	946536	-	741	57	52	55	54
BW25113_RS04685	NZ_CP009273.1	946728	949010	-	2283	4561	4580	7593	7493
BW25113_RS25515	NZ_CP009273.1	949065	949922	-	858	220	238	388	373
BW25113_RS04695	NZ_CP009273.1	950328	952088	-	1761	46	49	57	57
BW25113_RS04700	NZ_CP009273.1	952218	952910	+	693	11	11	7	14
BW25113_RS04705	NZ_CP009273.1	953109	954197	+	1089	55	36	71	80
BW25113_RS04710	NZ_CP009273.1	954268	955551	+	1284	45	26	48	55
BW25113_RS04715	NZ_CP009273.1	955720	956484	+	765	9	8	3	12
BW25113_RS04720	NZ_CP009273.1	956657	957340	+	684	189	211	153	145
BW25113_RS04725	NZ_CP009273.1	957451	959124	+	1674	2018	1975	1745	1733
BW25113_RS04730	NZ_CP009273.1	959284	959568	+	285	75	51	63	67
BW25113_RS04735	NZ_CP009273.1	959776	962040	+	2265	35	32	26	23
BW25113_RS04740	NZ_CP009273.1	962077	963825	+	1749	83	73	57	66
BW25113_RS04745	NZ_CP009273.1	963822	964808	+	987	35	31	27	25
BW25113_RS04750	NZ_CP009273.1	964845	966077	+	1233	27	25	23	25
BW25113_RS04755	NZ_CP009273.1	966129	966311	+	183	6	9	10	6
BW25113_RS04760	NZ_CP009273.1	966308	967054	+	747	34	42	28	37
BW25113_RS04765	NZ_CP009273.1	967208	968101	+	894	56	56	32	38
BW25113_RS04770	NZ_CP009273.1	968078	968857	-	780	20	16	4	16
BW25113_RS04775	NZ_CP009273.1	968993	969778	+	786	38	47	29	40
BW25113_RS04780	NZ_CP009273.1	969775	971097	+	1323	83	87	69	75
BW25113_RS04785	NZ_CP009273.1	971078	971782	+	705	80	59	72	56
BW25113_RS04790	NZ_CP009273.1	971782	976242	+	4461	380	389	320	324
BW25113_RS04795	NZ_CP009273.1	976503	978350	+	1848	66	52	60	63
BW25113_RS04800	NZ_CP009273.1	978531	979079	+	549	44	56	48	40
BW25113_RS04805	NZ_CP009273.1	979106	979753	+	648	62	70	53	50
BW25113_RS04810	NZ_CP009273.1	979975	981165	-	1191	83	77	85	83
BW25113_RS04820	NZ_CP009273.1	981350	982438	-	1089	1356	1291	998	962
BW25113_RS04825	NZ_CP009273.1	983041	984441	-	1401	164	156	165	143
BW25113_RS04830	NZ_CP009273.1	984610	985812	-	1203	68	65	51	52
BW25113_RS04835	NZ_CP009273.1	986078	988690	+	2613	265	238	279	265
BW25113_RS04840	NZ_CP009273.1	988733	989500	-	768	10	10	9	9
BW25113_RS04845	NZ_CP009273.1	989497	990288	-	792	7	8	5	7
BW25113_RS04850	NZ_CP009273.1	990299	991444	-	1146	13	4	3	3
BW25113_RS04855	NZ_CP009273.1	991441	992400	-	960	9	5	5	4
BW25113_RS04860	NZ_CP009273.1	992393	992968	-	576	4	5	3	5
BW25113_RS04865	NZ_CP009273.1	993324	993863	+	540	8	8	0	3
BW25113_RS04870	NZ_CP009273.1	993946	994647	+	702	4	5	8	2
BW25113_RS04875	NZ_CP009273.1	994672	997272	+	2601	38	12	16	13
BW25113_RS04880	NZ_CP009273.1	997263	998333	+	1071	12	13	6	7
BW25113_RS04885	NZ_CP009273.1	998345	998887	+	543	6	5	3	6
BW25113_RS04890	NZ_CP009273.1	998895	999410	+	516	5	3	5	6
BW25113_RS04895	NZ_CP009273.1	999376	1000113	+	738	7	5	3	8
BW25113_RS04900	NZ_CP009273.1	1000224	1001234	+	1011	19	12	7	18
BW25113_RS04905	NZ_CP009273.1	1001408	1001950	+	543	15	6	6	12
BW25113_RS04910	NZ_CP009273.1	1001947	1003056	-	1110	30	34	41	32
BW25113_RS04915	NZ_CP009273.1	1003300	1005408	+	2109	68	75	83	48
BW25113_RS04920	NZ_CP009273.1	1005420	1007327	+	1908	76	83	61	65
BW25113_RS04925	NZ_CP009273.1	1007457	1008710	+	1254	33	27	17	28
BW25113_RS04930	NZ_CP009273.1	1008715	1010355	+	1641	35	30	37	36
BW25113_RS04935	NZ_CP009273.1	1010352	1010915	+	564	14	9	17	19
BW25113_RS04940	NZ_CP009273.1	1011171	1011338	+	168	15	27	21	17
BW25113_RS04945	NZ_CP009273.1	1011408	1011926	-	519	62	49	62	54
BW25113_RS04950	NZ_CP009273.1	1011995	1013755	-	1761	113	121	93	92
BW25113_RS04955	NZ_CP009273.1	1013941	1014393	+	453	18	14	21	12
BW25113_RS04960	NZ_CP009273.1	1014469	1015509	-	1041	3788	3739	3272	3289
BW25113_RS04970	NZ_CP009273.1	1015866	1016375	-	510	30	24	32	19
BW25113_RS04975	NZ_CP009273.1	1016594	1017223	+	630	11	10	5	16
BW25113_RS04980	NZ_CP009273.1	1017186	1019348	-	2163	45	42	51	51
BW25113_RS04985	NZ_CP009273.1	1019358	1019804	-	447	8	13	12	7
BW25113_RS04990	NZ_CP009273.1	1019927	1021981	+	2055	50	44	28	29
BW25113_RS04995	NZ_CP009273.1	1022013	1022471	-	459	41	23	26	28
BW25113_RS05000	NZ_CP009273.1	1022567	1023229	-	663	9	10	4	2
BW25113_RS05010	NZ_CP009273.1	1023402	1023815	+	414	18	13	13	11
BW25113_RS05015	NZ_CP009273.1	1023860	1024177	-	318	34	40	33	28
BW25113_RS05020	NZ_CP009273.1	1024235	1025425	-	1191	24	26	27	31
BW25113_RS05025	NZ_CP009273.1	1025520	1025798	+	279	7	4	3	5
BW25113_RS05030	NZ_CP009273.1	1025795	1026124	-	330	9	9	7	19
BW25113_RS05035	NZ_CP009273.1	1026215	1026874	-	660	159	163	186	174
BW25113_RS05040	NZ_CP009273.1	1027081	1027168	-	88	18	17	12	9
BW25113_RS05045	NZ_CP009273.1	1027595	1028713	+	1119	12	20	9	13
BW25113_RS05050	NZ_CP009273.1	1028710	1030503	+	1794	21	18	17	17
BW25113_RS05055	NZ_CP009273.1	1030522	1031229	+	708	7	8	5	5
BW25113_RS05060	NZ_CP009273.1	1031226	1031813	+	588	10	5	4	5
BW25113_RS05065	NZ_CP009273.1	1031810	1032208	+	399	6	8	1	5
BW25113_RS05070	NZ_CP009273.1	1032205	1033062	+	858	15	12	9	9
BW25113_RS05075	NZ_CP009273.1	1033196	1034740	+	1545	20	17	10	13
BW25113_RS05080	NZ_CP009273.1	1034752	1035888	+	1137	17	20	8	9
BW25113_RS05085	NZ_CP009273.1	1035901	1035993	+	93	0	0	1	0
BW25113_RS05090	NZ_CP009273.1	1036073	1037371	+	1299	20	16	11	10
BW25113_RS05095	NZ_CP009273.1	1037486	1039666	-	2181	25	21	31	24
BW25113_RS05100	NZ_CP009273.1	1039686	1040132	-	447	3	5	6	2
BW25113_RS05105	NZ_CP009273.1	1040120	1041259	-	1140	9	19	12	7
BW25113_RS05110	NZ_CP009273.1	1041305	1043401	-	2097	26	17	26	25
BW25113_RS05115	NZ_CP009273.1	1043401	1044147	-	747	10	5	8	9
BW25113_RS05120	NZ_CP009273.1	1044144	1044788	-	645	4	4	9	1
BW25113_RS05125	NZ_CP009273.1	1044895	1045200	-	306	8	6	8	7
BW25113_RS05135	NZ_CP009273.1	1045289	1045986	+	698	44	26	23	26
BW25113_RS05140	NZ_CP009273.1	1046419	1046631	-	213	9	10	4	11
BW25113_RS05145	NZ_CP009273.1	1046917	1047129	+	213	444	431	398	345
BW25113_RS23580	NZ_CP009273.1	1047140	1047328	+	189	139	105	104	108
BW25113_RS05150	NZ_CP009273.1	1047303	1047533	+	231	18	17	30	18
BW25113_RS05155	NZ_CP009273.1	1047523	1047696	+	174	7	8	10	10
BW25113_RS05160	NZ_CP009273.1	1047745	1048818	-	1074	28	29	30	32
BW25113_RS05165	NZ_CP009273.1	1048890	1051634	-	2745	35	39	28	22
BW25113_RS05170	NZ_CP009273.1	1051717	1052745	+	1029	11	14	15	7
BW25113_RS05175	NZ_CP009273.1	1052718	1053410	-	693	7	6	7	6
BW25113_RS05180	NZ_CP009273.1	1053540	1054712	+	1173	13	16	6	3
BW25113_RS05185	NZ_CP009273.1	1054712	1057258	+	2547	19	20	21	26
BW25113_RS05190	NZ_CP009273.1	1057255	1057854	+	600	9	7	5	7
BW25113_RS05195	NZ_CP009273.1	1058006	1058311	-	306	5	11	2	11
BW25113_RS05200	NZ_CP009273.1	1058311	1059231	-	921	37	40	20	18
BW25113_RS05205	NZ_CP009273.1	1059492	1060748	+	1257	2	6	6	6
BW25113_RS05210	NZ_CP009273.1	1061041	1062282	+	1242	227	219	120	96
BW25113_RS05215	NZ_CP009273.1	1062320	1062547	-	228	113	117	37	29
BW25113_RS05220	NZ_CP009273.1	1062568	1063164	-	597	202	200	52	60
BW25113_RS05230	NZ_CP009273.1	1063537	1063710	+	174	10	1	6	2
BW25113_RS05235	NZ_CP009273.1	1063967	1065295	-	1329	7	10	9	14
BW25113_RS05240	NZ_CP009273.1	1065316	1065810	-	495	3	1	1	1
BW25113_RS05245	NZ_CP009273.1	1065821	1066411	-	591	7	1	4	2
BW25113_RS05250	NZ_CP009273.1	1066421	1067221	-	801	10	6	6	0
BW25113_RS05255	NZ_CP009273.1	1067229	1067615	-	387	3	2	4	4
BW25113_RS05260	NZ_CP009273.1	1067627	1068319	-	693	3	5	5	6
BW25113_RS05265	NZ_CP009273.1	1068319	1069410	-	1092	2	10	8	8
BW25113_RS05270	NZ_CP009273.1	1069698	1070336	+	639	12	15	12	5
BW25113_RS05275	NZ_CP009273.1	1070376	1074338	-	3963	252	225	249	240
BW25113_RS05280	NZ_CP009273.1	1074393	1074602	+	210	1	4	2	4
BW25113_RS05285	NZ_CP009273.1	1074761	1076269	+	1509	104	108	73	58
BW25113_RS05300	NZ_CP009273.1	1077699	1078826	+	1128	10	13	15	13
BW25113_RS05305	NZ_CP009273.1	1078832	1080103	+	1272	16	9	6	14
BW25113_RS05315	NZ_CP009273.1	1080724	1081512	+	789	44	32	18	23
BW25113_RS05320	NZ_CP009273.1	1081562	1081975	-	414	9	9	5	6
BW25113_RS05325	NZ_CP009273.1	1081977	1083302	-	1326	13	11	11	8
BW25113_RS05330	NZ_CP009273.1	1083295	1085313	-	2019	16	17	13	17
BW25113_RS05335	NZ_CP009273.1	1085322	1087745	-	2424	34	36	28	26
BW25113_RS05340	NZ_CP009273.1	1088332	1089690	+	1359	10	11	14	13
BW25113_RS05345	NZ_CP009273.1	1089731	1090893	-	1163	4	0	0	1
BW25113_RS05360	NZ_CP009273.1	1091299	1092285	+	987	0	0	0	1
BW25113_RS23065	NZ_CP009273.1	1092659	1092795	-	137	0	0	0	0
BW25113_RS23070	NZ_CP009273.1	1092840	1092976	-	137	0	1	1	0
BW25113_RS05370	NZ_CP009273.1	1093021	1093108	-	88	0	0	3	0
BW25113_RS05375	NZ_CP009273.1	1093342	1094280	+	939	32	28	30	25
BW25113_RS05380	NZ_CP009273.1	1094335	1095072	+	738	32	33	16	33
BW25113_RS05385	NZ_CP009273.1	1095096	1095650	+	555	28	28	27	25
BW25113_RS05390	NZ_CP009273.1	1095752	1096243	+	492	24	19	22	22
BW25113_RS05395	NZ_CP009273.1	1096307	1097140	-	834	13	11	8	10
BW25113_RS05400	NZ_CP009273.1	1097167	1097583	-	417	0	2	2	2
BW25113_RS05405	NZ_CP009273.1	1097608	1097997	-	390	1	2	3	0
BW25113_RS05410	NZ_CP009273.1	1098002	1098652	-	651	10	7	4	8
BW25113_RS05420	NZ_CP009273.1	1099407	1099862	+	456	3	3	2	4
BW25113_RS05425	NZ_CP009273.1	1099903	1100358	+	456	8	2	5	2
BW25113_RS05430	NZ_CP009273.1	1100417	1100749	+	333	4	6	3	3
BW25113_RS05435	NZ_CP009273.1	1100870	1101181	+	312	1	2	6	4
BW25113_RS05440	NZ_CP009273.1	1101276	1101809	+	534	6	9	13	7
BW25113_RS05445	NZ_CP009273.1	1101751	1103232	+	1482	39	27	29	20
BW25113_RS05450	NZ_CP009273.1	1103240	1104397	-	1158	10	15	14	12
BW25113_RS05465	NZ_CP009273.1	1104791	1106326	+	1536	117	106	58	67
BW25113_RS05470	NZ_CP009273.1	1106319	1108862	+	2544	102	138	69	67
BW25113_RS05475	NZ_CP009273.1	1109035	1109262	+	228	7	9	8	11
BW25113_RS05480	NZ_CP009273.1	1109263	1109637	-	375	18	14	13	12
BW25113_RS05490	NZ_CP009273.1	1109720	1110946	-	1227	20	21	23	20
BW25113_RS05495	NZ_CP009273.1	1111118	1112038	-	921	24	31	14	14
BW25113_RS05500	NZ_CP009273.1	1112263	1113315	+	1053	31	19	23	22
BW25113_RS05505	NZ_CP009273.1	1113357	1113932	-	576	8	13	17	8
BW25113_RS05510	NZ_CP009273.1	1113936	1114502	-	567	11	14	8	12
BW25113_RS05515	NZ_CP009273.1	1114763	1114876	-	114	2	1	0	1
BW25113_RS05520	NZ_CP009273.1	1114924	1116042	-	1119	40	28	32	31
BW25113_RS05525	NZ_CP009273.1	1116157	1116411	-	255	126	106	100	90
BW25113_RS05530	NZ_CP009273.1	1116698	1116943	-	246	8	14	10	6
BW25113_RS05535	NZ_CP009273.1	1117017	1118063	-	1047	18	35	23	19
BW25113_RS05540	NZ_CP009273.1	1118169	1118729	-	561	16	21	16	11
BW25113_RS05545	NZ_CP009273.1	1118863	1119510	-	648	26	22	18	19
BW25113_RS05550	NZ_CP009273.1	1119574	1120782	-	1209	18	9	9	10
BW25113_RS05555	NZ_CP009273.1	1121018	1121602	+	585	27	22	30	35
BW25113_RS05560	NZ_CP009273.1	1121613	1122260	+	648	27	40	21	27
BW25113_RS05565	NZ_CP009273.1	1122262	1123185	+	924	27	27	29	29
BW25113_RS05570	NZ_CP009273.1	1123295	1124830	+	1536	20	21	32	21
BW25113_RS05575	NZ_CP009273.1	1124870	1125286	-	417	9	7	24	12
BW25113_RS05580	NZ_CP009273.1	1125291	1125584	-	294	7	3	15	11
BW25113_RS05585	NZ_CP009273.1	1125660	1126319	-	660	9	9	21	13
BW25113_RS05590	NZ_CP009273.1	1126474	1126890	+	417	4	9	37	35
BW25113_RS05595	NZ_CP009273.1	1126894	1127298	+	405	1	11	39	35
BW25113_RS05600	NZ_CP009273.1	1127310	1128005	+	696	16	9	94	97
BW25113_RS05605	NZ_CP009273.1	1128030	1129238	+	1209	31	34	250	239
BW25113_RS05610	NZ_CP009273.1	1129258	1130013	+	756	18	25	121	110
BW25113_RS05615	NZ_CP009273.1	1130185	1130967	+	783	30	26	136	153
BW25113_RS05620	NZ_CP009273.1	1131020	1131718	+	699	13	8	46	48
BW25113_RS05625	NZ_CP009273.1	1131730	1132827	+	1098	23	28	68	72
BW25113_RS05630	NZ_CP009273.1	1132827	1133768	+	942	16	18	70	59
BW25113_RS05635	NZ_CP009273.1	1133834	1135477	+	1644	34	33	131	119
BW25113_RS05640	NZ_CP009273.1	1135489	1136442	+	954	23	21	101	85
BW25113_RS05645	NZ_CP009273.1	1136638	1139823	-	3186	563	509	524	520
BW25113_RS05655	NZ_CP009273.1	1140396	1141355	+	960	23	50	30	29
BW25113_RS05660	NZ_CP009273.1	1141467	1142051	-	585	20	9	16	24
BW25113_RS05665	NZ_CP009273.1	1142250	1142771	+	522	560	488	413	401
BW25113_RS05670	NZ_CP009273.1	1142823	1142996	+	174	157	153	113	111
BW25113_RS05675	NZ_CP009273.1	1143077	1144147	+	1071	115	125	87	96
BW25113_RS05680	NZ_CP009273.1	1144215	1145168	+	954	202	198	152	156
BW25113_RS05685	NZ_CP009273.1	1145184	1146113	+	930	238	205	195	220
BW25113_RS05690	NZ_CP009273.1	1146126	1146860	+	735	344	338	290	294
BW25113_RS05695	NZ_CP009273.1	1147071	1147307	+	237	309	338	282	300
BW25113_RS05700	NZ_CP009273.1	1147395	1148636	+	1242	360	377	298	309
BW25113_RS05705	NZ_CP009273.1	1148756	1149565	+	810	26	17	25	15
BW25113_RS05710	NZ_CP009273.1	1149568	1150590	+	1023	27	29	22	20
BW25113_RS05715	NZ_CP009273.1	1150580	1151221	+	642	14	20	17	14
BW25113_RS05720	NZ_CP009273.1	1151218	1152222	+	1005	35	35	25	21
BW25113_RS05725	NZ_CP009273.1	1152233	1153030	+	798	23	18	22	18
BW25113_RS05730	NZ_CP009273.1	1153325	1154758	+	1434	69	60	45	53
BW25113_RS05735	NZ_CP009273.1	1154818	1157007	-	2190	22	24	21	25
BW25113_RS05740	NZ_CP009273.1	1157341	1157700	+	360	23	34	43	35
BW25113_RS05745	NZ_CP009273.1	1157703	1158080	+	378	31	27	31	26
BW25113_RS05750	NZ_CP009273.1	1158094	1158735	+	642	50	42	44	38
BW25113_RS05755	NZ_CP009273.1	1158716	1159540	+	825	30	30	27	24
BW25113_RS05760	NZ_CP009273.1	1159551	1160576	+	1026	72	63	49	42
BW25113_RS05765	NZ_CP009273.1	1160599	1161141	+	543	73	66	51	48
BW25113_RS05770	NZ_CP009273.1	1161541	1162845	+	1305	93	86	301	298
BW25113_RS05775	NZ_CP009273.1	1163055	1163594	+	540	23	16	37	35
BW25113_RS05780	NZ_CP009273.1	1163656	1164288	-	633	9	16	16	16
BW25113_RS05785	NZ_CP009273.1	1164529	1164786	+	258	10	14	3	9
BW25113_RS05790	NZ_CP009273.1	1164868	1165830	-	963	20	16	36	22
BW25113_RS05795	NZ_CP009273.1	1165974	1169420	-	3447	87	89	137	127
BW25113_RS05800	NZ_CP009273.1	1169548	1170621	-	1074	18	7	9	5
BW25113_RS05805	NZ_CP009273.1	1170883	1172082	+	1200	38	50	33	29
BW25113_RS05810	NZ_CP009273.1	1172075	1172776	+	702	30	26	13	21
BW25113_RS05815	NZ_CP009273.1	1172776	1174020	+	1245	60	44	37	41
BW25113_RS05820	NZ_CP009273.1	1174049	1174960	+	912	45	36	35	30
BW25113_RS05825	NZ_CP009273.1	1174976	1175815	+	840	33	35	40	42
BW25113_RS05830	NZ_CP009273.1	1175935	1176723	-	789	9	4	11	12
BW25113_RS05835	NZ_CP009273.1	1176720	1177181	-	462	4	3	1	2
BW25113_RS05840	NZ_CP009273.1	1177239	1178285	-	1047	59	58	51	65
BW25113_RS05845	NZ_CP009273.1	1178282	1179076	-	795	25	18	33	39
BW25113_RS05850	NZ_CP009273.1	1179073	1179930	-	858	34	36	26	45
BW25113_RS05855	NZ_CP009273.1	1179914	1181050	-	1137	49	40	53	47
BW25113_RS05865	NZ_CP009273.1	1181300	1182526	+	1227	48	59	59	48
BW25113_RS05870	NZ_CP009273.1	1182575	1183696	-	1122	56	51	53	55
BW25113_RS05875	NZ_CP009273.1	1183772	1185232	-	1461	60	58	61	57
BW25113_RS05880	NZ_CP009273.1	1185232	1185903	-	672	39	36	56	40
BW25113_RS05885	NZ_CP009273.1	1186072	1187442	-	1371	42	56	29	21
BW25113_RS05890	NZ_CP009273.1	1187446	1188087	-	642	35	38	24	26
BW25113_RS05895	NZ_CP009273.1	1188123	1189229	-	1107	87	75	57	53
BW25113_RS05900	NZ_CP009273.1	1189283	1189744	-	462	15	8	10	5
BW25113_RS05905	NZ_CP009273.1	1189754	1190407	-	654	7	8	7	11
BW25113_RS05910	NZ_CP009273.1	1190579	1191829	+	1251	609	520	444	433
BW25113_RS05915	NZ_CP009273.1	1192323	1192988	-	666	5	1	1	0
BW25113_RS05920	NZ_CP009273.1	1192989	1193693	-	705	3	3	2	0
BW25113_RS05925	NZ_CP009273.1	1194151	1195044	+	894	3	2	1	2
BW25113_RS05930	NZ_CP009273.1	1195135	1196262	-	1128	1	4	2	2
BW25113_RS05935	NZ_CP009273.1	1196243	1196488	-	246	0	0	0	0
BW25113_RS25530	NZ_CP009273.1	1196525	1196836	-	312	1	1	1	0
BW25113_RS23630	NZ_CP009273.1	1196953	1197294	+	342	4	1	6	1
BW25113_RS05940	NZ_CP009273.1	1197232	1197540	-	309	0	3	1	1
BW25113_RS05945	NZ_CP009273.1	1197715	1198389	-	675	4	6	3	3
BW25113_RS05950	NZ_CP009273.1	1198480	1198680	+	201	0	0	0	1
BW25113_RS05955	NZ_CP009273.1	1198724	1199281	+	558	0	2	2	0
BW25113_RS23635	NZ_CP009273.1	1199457	1199636	+	180	0	0	0	0
BW25113_RS05970	NZ_CP009273.1	1201005	1201187	+	183	0	0	0	0
BW25113_RS05985	NZ_CP009273.1	1202369	1202953	+	585	0	0	1	0
BW25113_RS05990	NZ_CP009273.1	1202957	1203586	+	630	1	1	0	1
BW25113_RS05995	NZ_CP009273.1	1203588	1204001	+	414	0	0	0	0
BW25113_RS06000	NZ_CP009273.1	1203973	1204575	-	603	1	0	2	1
BW25113_RS06005	NZ_CP009273.1	1204575	1205111	-	537	0	0	1	0
BW25113_RS06010	NZ_CP009273.1	1205141	1205695	+	555	1	0	0	0
BW25113_RS06015	NZ_CP009273.1	1205802	1206635	+	834	3	0	1	2
BW25113_RS06020	NZ_CP009273.1	1207136	1207459	-	324	2	0	4	1
